"","orig.ident","nCount_RNA","nFeature_RNA","batch","percent.mt","RNA_snn_res.0.6","seurat_clusters"
"1_CELL886_N3","au1",4595,1158,"1",0,"0","0"
"1_CELL890_N2","au1",1045,479,"1",0,"1","1"
"1_CELL892_N3","au1",3680,1060,"1",0,"13","13"
"1_CELL894_N4","au1",2520,712,"1",0,"3","3"
"1_CELL895_N3","au1",3939,1000,"1",0,"5","5"
"1_CELL896_N3","au1",4398,1088,"1",0,"8","8"
"1_CELL897_N2","au1",1076,506,"1",0,"1","1"
"1_CELL899_N3","au1",3930,1213,"1",0,"6","6"
"1_CELL900_N2","au1",2986,960,"1",0,"13","13"
"1_CELL902_N4","au1",1826,720,"1",0,"0","0"
"1_CELL904_N2","au1",2826,873,"1",0,"2","2"
"1_CELL905_N6","au1",3986,1068,"1",0,"0","0"
"1_CELL906_N2","au1",1167,508,"1",0,"3","3"
"1_CELL909_N3","au1",3129,814,"1",0,"0","0"
"1_CELL910_N3","au1",1845,705,"1",0,"0","0"
"1_CELL912_N3","au1",3401,1270,"1",0,"10","10"
"1_CELL913_N3","au1",2489,795,"1",0,"8","8"
"1_CELL914_N2","au1",1545,582,"1",0,"10","10"
"1_CELL915_N2","au1",4013,1119,"1",0,"12","12"
"1_CELL916_N2","au1",3023,1017,"1",0,"3","3"
"1_CELL917_N3","au1",3165,958,"1",0,"14","14"
"1_CELL919_N2","au1",2185,745,"1",0,"0","0"
"1_CELL922_N3","au1",1860,786,"1",0,"5","5"
"1_CELL928_N2","au1",8526,1652,"1",0,"1","1"
"1_CELL929_N2","au1",16116,1029,"1",0,"19","19"
"1_CELL931_N2","au1",1424,584,"1",0,"5","5"
"1_CELL932_N5","au1",4488,1056,"1",0,"0","0"
"1_CELL935_N2","au1",2959,879,"1",0,"12","12"
"1_CELL936_N2","au1",1079,500,"1",0,"2","2"
"1_CELL937_N2","au1",3397,948,"1",0,"9","9"
"1_CELL941_N2","au1",3384,1002,"1",0,"4","4"
"1_CELL942_N3","au1",3137,935,"1",0,"0","0"
"1_CELL943_N3","au1",3527,977,"1",0,"1","1"
"1_CELL945_N2","au1",1734,644,"1",0,"13","13"
"1_CELL946_N2","au1",4618,1632,"1",0,"6","6"
"1_CELL947_N3","au1",1687,776,"1",0,"6","6"
"1_CELL948_N3","au1",1953,822,"1",0,"15","15"
"1_CELL949_N3","au1",3101,1076,"1",0,"6","6"
"1_CELL952_N3","au1",1379,515,"1",0,"15","15"
"1_CELL956_N4","au1",3484,817,"1",0,"0","0"
"1_CELL957_N3","au1",5076,1470,"1",0,"4","4"
"1_CELL958_N2","au1",3922,645,"1",0,"18","18"
"1_CELL960_N6","au1",4477,1531,"1",0,"7","7"
"1_CELL962_N3","au1",4605,1309,"1",0,"13","13"
"1_CELL964_N5","au1",6422,1326,"1",0,"6","6"
"1_CELL965_N2","au1",6866,1617,"1",0,"0","0"
"1_CELL966_N4","au1",3105,1316,"1",0,"10","10"
"1_CELL975_N2","au1",3134,630,"1",0,"16","16"
"1_CELL976_N2","au1",1342,610,"1",0,"1","1"
"1_CELL978_N2","au1",2396,807,"1",0,"5","5"
"1_CELL982_N2","au1",1245,511,"1",0,"2","2"
"1_CELL985_N4","au1",4994,1505,"1",0,"2","2"
"1_CELL986_N2","au1",1112,510,"1",0,"2","2"
"1_CELL987_N2","au1",2074,725,"1",0,"2","2"
"1_CELL991_N3","au1",2459,609,"1",0,"3","3"
"1_CELL992_N2","au1",3037,835,"1",0,"2","2"
"1_CELL994_N2","au1",1866,735,"1",0,"2","2"
"1_CELL998_N4","au1",2792,770,"1",0,"11","11"
"1_CELL999_N4","au1",2314,857,"1",0,"0","0"
"1_CELL1000_N2","au1",2651,784,"1",0,"14","14"
"1_CELL1002_N2","au1",1095,494,"1",0,"2","2"
"1_CELL1007_N3","au1",15159,1251,"1",0,"18","18"
"1_CELL1009_N2","au1",1177,604,"1",0,"3","3"
"1_CELL1010_N3","au1",1481,580,"1",0,"0","0"
"1_CELL1011_N4","au1",5095,1329,"1",0,"4","4"
"1_CELL1013_N2","au1",2903,924,"1",0,"7","7"
"1_CELL1016_N2","au1",1376,567,"1",0,"0","0"
"1_CELL1021_N2","au1",4884,775,"1",0,"16","16"
"1_CELL1026_N3","au1",2256,715,"1",0,"0","0"
"1_CELL1030_N2","au1",1808,790,"1",0,"6","6"
"1_CELL1031_N3","au1",2148,921,"1",0,"6","6"
"1_CELL1032_N2","au1",2710,766,"1",0,"13","13"
"1_CELL1033_N3","au1",2470,871,"1",0,"0","0"
"1_CELL1034_N2","au1",1314,544,"1",0,"10","10"
"1_CELL1036_N2","au1",2956,786,"1",0,"8","8"
"1_CELL1040_N4","au1",4880,1317,"1",0,"17","17"
"1_CELL1041_N3","au1",2513,847,"1",0,"0","0"
"1_CELL1043_N3","au1",3091,890,"1",0,"0","0"
"1_CELL1048_N3","au1",3361,1031,"1",0,"0","0"
"1_CELL1049_N2","au1",1205,493,"1",0,"4","4"
"1_CELL1050_N2","au1",1448,496,"1",0,"3","3"
"1_CELL1053_N2","au1",2132,721,"1",0,"4","4"
"1_CELL1056_N2","au1",1369,557,"1",0,"6","6"
"1_CELL1057_N3","au1",2397,644,"1",0,"4","4"
"1_CELL1059_N2","au1",1015,436,"1",0,"1","1"
"1_CELL1061_N2","au1",1640,680,"1",0,"3","3"
"1_CELL1062_N3","au1",1378,518,"1",0,"0","0"
"1_CELL1064_N4","au1",2039,822,"1",0,"2","2"
"1_CELL1068_N2","au1",1720,636,"1",0,"0","0"
"1_CELL1069_N3","au1",3693,976,"1",0,"5","5"
"1_CELL1070_N4","au1",1678,587,"1",0,"1","1"
"1_CELL1071_N5","au1",6338,1384,"1",0,"1","1"
"1_CELL1072_N3","au1",1524,613,"1",0,"3","3"
"1_CELL1074_N2","au1",2090,751,"1",0,"11","11"
"1_CELL1081_N4","au1",3574,1216,"1",0,"9","9"
"1_CELL1082_N2","au1",1656,780,"1",0,"0","0"
"1_CELL1083_N3","au1",1667,644,"1",0,"0","0"
"1_CELL1088_N3","au1",1359,637,"1",0,"2","2"
"1_CELL1090_N4","au1",3006,1025,"1",0,"10","10"
"1_CELL1091_N3","au1",1885,524,"1",0,"18","18"
"1_CELL1095_N5","au1",5977,1654,"1",0,"0","0"
"1_CELL1096_N3","au1",1905,649,"1",0,"5","5"
"1_CELL1097_N4","au1",2540,926,"1",0,"5","5"
"1_CELL1098_N2","au1",6245,1277,"1",0,"13","13"
"1_CELL1100_N3","au1",3363,1214,"1",0,"6","6"
"1_CELL1101_N3","au1",2191,526,"1",0,"0","0"
"1_CELL1104_N4","au1",2215,939,"1",0,"20","20"
"1_CELL1107_N2","au1",1058,498,"1",0,"0","0"
"1_CELL1108_N2","au1",1449,571,"1",0,"6","6"
"1_CELL1109_N2","au1",1058,498,"1",0,"6","6"
"1_CELL1114_N2","au1",1725,636,"1",0,"7","7"
"1_CELL1116_N4","au1",1914,672,"1",0,"3","3"
"1_CELL1117_N2","au1",1158,607,"1",0,"7","7"
"1_CELL1118_N2","au1",1011,519,"1",0,"3","3"
"1_CELL1120_N2","au1",2260,679,"1",0,"0","0"
"1_CELL1122_N3","au1",1286,577,"1",0,"10","10"
"1_CELL1126_N3","au1",1733,704,"1",0,"4","4"
"1_CELL1130_N4","au1",7097,1541,"1",0,"5","5"
"1_CELL1131_N2","au1",1023,579,"1",0,"0","0"
"1_CELL1133_N5","au1",5129,1188,"1",0,"1","1"
"1_CELL1136_N3","au1",2325,724,"1",0,"0","0"
"1_CELL1137_N2","au1",3813,695,"1",0,"0","0"
"1_CELL1141_N3","au1",2078,826,"1",0,"5","5"
"1_CELL1142_N3","au1",3141,901,"1",0,"3","3"
"1_CELL1143_N2","au1",3906,825,"1",0,"8","8"
"1_CELL1144_N4","au1",2286,706,"1",0,"0","0"
"1_CELL1145_N2","au1",1199,586,"1",0,"0","0"
"1_CELL1149_N2","au1",1889,764,"1",0,"12","12"
"1_CELL1151_N2","au1",1665,654,"1",0,"21","21"
"1_CELL1153_N2","au1",1173,513,"1",0,"22","22"
"1_CELL1154_N2","au1",1467,575,"1",0,"8","8"
"1_CELL1157_N3","au1",5166,1471,"1",0,"2","2"
"1_CELL1158_N2","au1",5087,693,"1",0,"23","23"
"1_CELL1159_N2","au1",1513,623,"1",0,"11","11"
"1_CELL1160_N3","au1",1953,507,"1",0,"0","0"
"1_CELL1162_N2","au1",4232,1123,"1",0,"0","0"
"1_CELL1166_N2","au1",1027,484,"1",0,"1","1"
"1_CELL1167_N3","au1",3477,930,"1",0,"0","0"
"1_CELL1168_N2","au1",3050,1000,"1",0,"3","3"
"1_CELL1170_N4","au1",3196,803,"1",0,"0","0"
"1_CELL1171_N3","au1",2209,780,"1",0,"15","15"
"1_CELL1172_N4","au1",2419,692,"1",0,"3","3"
"1_CELL1173_N2","au1",1672,649,"1",0,"10","10"
"1_CELL1175_N2","au1",3374,871,"1",0,"15","15"
"1_CELL1179_N2","au1",2124,678,"1",0,"1","1"
"1_CELL1182_N2","au1",1282,599,"1",0,"0","0"
"1_CELL1183_N3","au1",3680,1033,"1",0,"5","5"
"1_CELL1184_N2","au1",4385,1232,"1",0,"1","1"
"1_CELL1186_N2","au1",1405,563,"1",0,"7","7"
"1_CELL1187_N2","au1",2702,754,"1",0,"15","15"
"1_CELL1188_N2","au1",2184,802,"1",0,"5","5"
"1_CELL1192_N2","au1",3340,705,"1",0,"18","18"
"1_CELL1195_N3","au1",1700,674,"1",0,"0","0"
"1_CELL1198_N2","au1",1619,468,"1",0,"20","20"
"1_CELL1200_N3","au1",2620,802,"1",0,"10","10"
"1_CELL1202_N2","au1",3254,811,"1",0,"0","0"
"1_CELL1203_N2","au1",1121,525,"1",0,"0","0"
"1_CELL1205_N2","au1",11126,958,"1",0,"18","18"
"1_CELL1208_N3","au1",4628,1211,"1",0,"1","1"
"1_CELL1210_N3","au1",3128,997,"1",0,"0","0"
"1_CELL1221_N5","au1",4280,1403,"1",0,"6","6"
"1_CELL1222_N3","au1",9251,1731,"1",0,"4","4"
"1_CELL1223_N3","au1",1978,741,"1",0,"0","0"
"1_CELL1225_N2","au1",3043,904,"1",0,"2","2"
"1_CELL1226_N2","au1",1647,672,"1",0,"0","0"
"1_CELL1229_N3","au1",1929,683,"1",0,"7","7"
"1_CELL1233_N2","au1",1517,636,"1",0,"0","0"
"1_CELL1234_N2","au1",2037,626,"1",0,"20","20"
"1_CELL1236_N2","au1",1614,519,"1",0,"19","19"
"1_CELL1238_N3","au1",2131,687,"1",0,"2","2"
"1_CELL1239_N3","au1",1921,693,"1",0,"13","13"
"1_CELL1240_N2","au1",2746,816,"1",0,"0","0"
"1_CELL1243_N2","au1",1914,668,"1",0,"0","0"
"1_CELL1245_N3","au1",2375,823,"1",0,"17","17"
"1_CELL1248_N2","au1",1924,678,"1",0,"1","1"
"1_CELL1249_N2","au1",1468,603,"1",0,"6","6"
"1_CELL1250_N2","au1",1006,515,"1",0,"2","2"
"1_CELL1252_N2","au1",3009,905,"1",0,"2","2"
"1_CELL1253_N3","au1",1954,545,"1",0,"0","0"
"1_CELL1255_N2","au1",1951,582,"1",0,"0","0"
"1_CELL1256_N2","au1",3447,914,"1",0,"1","1"
"1_CELL1257_N4","au1",2265,641,"1",0,"0","0"
"1_CELL1258_N2","au1",2040,657,"1",0,"0","0"
"1_CELL1264_N2","au1",3722,1109,"1",0,"0","0"
"1_CELL1266_N4","au1",3993,1102,"1",0,"9","9"
"1_CELL1267_N2","au1",1053,487,"1",0,"0","0"
"1_CELL1268_N2","au1",4244,1113,"1",0,"0","0"
"1_CELL1273_N2","au1",3467,861,"1",0,"19","19"
"1_CELL1275_N3","au1",1831,710,"1",0,"0","0"
"1_CELL1276_N3","au1",2877,797,"1",0,"5","5"
"1_CELL1278_N3","au1",2068,748,"1",0,"3","3"
"1_CELL1279_N3","au1",2120,649,"1",0,"0","0"
"1_CELL1282_N2","au1",8117,1829,"1",0,"0","0"
"1_CELL1283_N2","au1",2869,1026,"1",0,"12","12"
"1_CELL1284_N3","au1",6451,1406,"1",0,"1","1"
"1_CELL1285_N2","au1",2717,890,"1",0,"2","2"
"1_CELL1287_N2","au1",2566,920,"1",0,"23","23"
"1_CELL1288_N2","au1",1301,568,"1",0,"3","3"
"1_CELL1290_N2","au1",1930,706,"1",0,"9","9"
"1_CELL1293_N3","au1",3336,1062,"1",0,"2","2"
"1_CELL1294_N2","au1",1632,525,"1",0,"9","9"
"1_CELL1295_N3","au1",4015,1106,"1",0,"12","12"
"1_CELL1297_N5","au1",2872,919,"1",0,"13","13"
"1_CELL1298_N4","au1",2416,590,"1",0,"0","0"
"1_CELL1304_N2","au1",1882,554,"1",0,"0","0"
"1_CELL1306_N3","au1",2384,669,"1",0,"8","8"
"1_CELL1309_N4","au1",2487,424,"1",0,"5","5"
"1_CELL1311_N3","au1",1991,860,"1",0,"8","8"
"1_CELL1315_N3","au1",6879,1527,"1",0,"18","18"
"1_CELL1317_N2","au1",2719,595,"1",0,"0","0"
"1_CELL1321_N2","au1",1604,684,"1",0,"0","0"
"1_CELL1325_N2","au1",1574,614,"1",0,"0","0"
"1_CELL1328_N4","au1",1948,702,"1",0,"0","0"
"1_CELL1329_N2","au1",2187,796,"1",0,"12","12"
"1_CELL1330_N3","au1",3212,939,"1",0,"1","1"
"1_CELL1331_N2","au1",1380,683,"1",0,"2","2"
"1_CELL1332_N2","au1",7960,1375,"1",0,"11","11"
"1_CELL1333_N2","au1",2171,720,"1",0,"2","2"
"1_CELL1334_N3","au1",2963,932,"1",0,"9","9"
"1_CELL1335_N3","au1",2498,827,"1",0,"13","13"
"1_CELL1336_N4","au1",7643,1495,"1",0,"1","1"
"1_CELL1337_N2","au1",2013,690,"1",0,"3","3"
"1_CELL1338_N2","au1",6339,1420,"1",0,"9","9"
"1_CELL1339_N4","au1",2517,964,"1",0,"0","0"
"1_CELL1342_N2","au1",2915,708,"1",0,"3","3"
"1_CELL1345_N4","au1",8123,1570,"1",0,"0","0"
"1_CELL1346_N2","au1",1645,631,"1",0,"2","2"
"1_CELL1349_N2","au1",3272,992,"1",0,"11","11"
"1_CELL1350_N4","au1",1785,774,"1",0,"3","3"
"1_CELL1351_N2","au1",5633,1368,"1",0,"11","11"
"1_CELL1353_N3","au1",1391,574,"1",0,"13","13"
"1_CELL1354_N3","au1",3887,623,"1",0,"23","23"
"1_CELL1357_N3","au1",3820,992,"1",0,"2","2"
"1_CELL1359_N4","au1",2965,732,"1",0,"0","0"
"1_CELL1360_N2","au1",2575,865,"1",0,"8","8"
"1_CELL1363_N2","au1",2009,772,"1",0,"9","9"
"1_CELL1364_N3","au1",3077,948,"1",0,"7","7"
"1_CELL1365_N3","au1",1310,653,"1",0,"0","0"
"1_CELL1366_N3","au1",2902,920,"1",0,"1","1"
"1_CELL1367_N2","au1",1953,507,"1",0,"14","14"
"1_CELL1369_N4","au1",4661,787,"1",0,"18","18"
"1_CELL1370_N2","au1",1698,676,"1",0,"6","6"
"1_CELL1371_N2","au1",3007,828,"1",0,"1","1"
"1_CELL1372_N2","au1",1184,527,"1",0,"0","0"
"1_CELL1373_N3","au1",1631,544,"1",0,"20","20"
"1_CELL1379_N2","au1",1145,565,"1",0,"0","0"
"1_CELL1380_N3","au1",5662,1240,"1",0,"14","14"
"1_CELL1383_N2","au1",4558,876,"1",0,"15","15"
"1_CELL1385_N3","au1",3347,851,"1",0,"1","1"
"1_CELL1386_N3","au1",1512,670,"1",0,"6","6"
"1_CELL1388_N2","au1",2440,770,"1",0,"2","2"
"1_CELL1390_N5","au1",2542,936,"1",0,"5","5"
"1_CELL1392_N3","au1",3153,1000,"1",0,"2","2"
"1_CELL1393_N2","au1",2316,805,"1",0,"12","12"
"1_CELL1396_N3","au1",2102,763,"1",0,"3","3"
"1_CELL1397_N2","au1",2726,725,"1",0,"0","0"
"1_CELL1399_N3","au1",1745,790,"1",0,"7","7"
"1_CELL1402_N2","au1",1650,624,"1",0,"10","10"
"1_CELL1403_N3","au1",2640,832,"1",0,"0","0"
"1_CELL1405_N2","au1",1573,608,"1",0,"3","3"
"1_CELL1410_N5","au1",3468,981,"1",0,"0","0"
"1_CELL1411_N3","au1",11663,1726,"1",0,"23","23"
"1_CELL1412_N3","au1",2241,655,"1",0,"0","0"
"1_CELL1413_N3","au1",2242,654,"1",0,"0","0"
"1_CELL1416_N3","au1",1987,823,"1",0,"2","2"
"1_CELL1418_N2","au1",4413,1100,"1",0,"13","13"
"1_CELL1420_N2","au1",11189,1983,"1",0,"2","2"
"1_CELL1424_N4","au1",3755,944,"1",0,"0","0"
"1_CELL1425_N2","au1",1568,498,"1",0,"11","11"
"1_CELL1426_N2","au1",4555,1347,"1",0,"12","12"
"1_CELL1429_N2","au1",1556,630,"1",0,"2","2"
"1_CELL1430_N2","au1",2200,961,"1",0,"2","2"
"1_CELL1431_N3","au1",2466,775,"1",0,"2","2"
"1_CELL1433_N2","au1",1119,457,"1",0,"0","0"
"1_CELL1434_N2","au1",1305,544,"1",0,"0","0"
"1_CELL1435_N2","au1",9118,1461,"1",0,"1","1"
"1_CELL1436_N2","au1",1114,582,"1",0,"3","3"
"1_CELL1437_N4","au1",5245,1216,"1",0,"2","2"
"1_CELL1438_N2","au1",7738,1533,"1",0,"1","1"
"1_CELL1440_N2","au1",1087,479,"1",0,"3","3"
"1_CELL1441_N2","au1",8363,1730,"1",0,"5","5"
"1_CELL1442_N3","au1",5432,1448,"1",0,"5","5"
"1_CELL1443_N2","au1",1008,439,"1",0,"3","3"
"1_CELL1445_N3","au1",1866,663,"1",0,"2","2"
"1_CELL1447_N3","au1",3247,887,"1",0,"0","0"
"1_CELL1448_N2","au1",1787,469,"1",0,"0","0"
"1_CELL1449_N5","au1",5593,1302,"1",0,"5","5"
"1_CELL1450_N2","au1",1203,565,"1",0,"10","10"
"1_CELL1453_N3","au1",1589,667,"1",0,"1","1"
"1_CELL1454_N2","au1",2170,757,"1",0,"21","21"
"1_CELL1455_N3","au1",1506,612,"1",0,"3","3"
"1_CELL1456_N2","au1",10953,1971,"1",0,"8","8"
"1_CELL1458_N2","au1",3357,1022,"1",0,"10","10"
"1_CELL1459_N6","au1",3549,964,"1",0,"0","0"
"1_CELL1462_N2","au1",1017,525,"1",0,"17","17"
"1_CELL1463_N2","au1",1322,569,"1",0,"14","14"
"1_CELL1471_N3","au1",8025,1610,"1",0,"17","17"
"1_CELL1474_N2","au1",2588,541,"1",0,"16","16"
"1_CELL1476_N3","au1",1334,666,"1",0,"2","2"
"1_CELL1478_N2","au1",1315,585,"1",0,"14","14"
"1_CELL1479_N2","au1",1181,541,"1",0,"7","7"
"1_CELL1480_N2","au1",1197,512,"1",0,"3","3"
"1_CELL1481_N2","au1",2694,770,"1",0,"0","0"
"1_CELL1485_N3","au1",3735,1032,"1",0,"13","13"
"1_CELL1486_N2","au1",1441,611,"1",0,"0","0"
"1_CELL1488_N5","au1",3788,1153,"1",0,"3","3"
"1_CELL1489_N2","au1",1544,566,"1",0,"20","20"
"1_CELL1491_N2","au1",4110,875,"1",0,"0","0"
"1_CELL1492_N3","au1",1965,629,"1",0,"0","0"
"1_CELL1493_N3","au1",2161,680,"1",0,"0","0"
"1_CELL1494_N3","au1",1920,528,"1",0,"0","0"
"1_CELL1496_N3","au1",3056,917,"1",0,"3","3"
"1_CELL1499_N3","au1",12056,1920,"1",0,"1","1"
"1_CELL1501_N2","au1",3037,774,"1",0,"1","1"
"1_CELL1503_N3","au1",2876,821,"1",0,"0","0"
"1_CELL1505_N3","au1",2466,766,"1",0,"13","13"
"1_CELL1507_N2","au1",1913,754,"1",0,"2","2"
"1_CELL1508_N2","au1",3855,1095,"1",0,"14","14"
"1_CELL1509_N3","au1",2833,1075,"1",0,"7","7"
"1_CELL1510_N4","au1",4179,1299,"1",0,"20","20"
"1_CELL1512_N2","au1",2194,672,"1",0,"0","0"
"1_CELL1513_N3","au1",1912,527,"1",0,"0","0"
"1_CELL1516_N1","au1",2124,715,"1",0,"0","0"
"1_CELL1519_N2","au1",1060,513,"1",0,"0","0"
"1_CELL1520_N3","au1",3225,1138,"1",0,"12","12"
"1_CELL1522_N2","au1",2558,773,"1",0,"0","0"
"1_CELL1526_N4","au1",4161,1079,"1",0,"3","3"
"1_CELL1529_N2","au1",4901,1135,"1",0,"1","1"
"1_CELL1530_N3","au1",2642,717,"1",0,"0","0"
"1_CELL1531_N2","au1",2391,768,"1",0,"13","13"
"1_CELL1532_N4","au1",2642,719,"1",0,"0","0"
"1_CELL1538_N5","au1",3046,928,"1",0,"0","0"
"1_CELL1539_N3","au1",1758,526,"1",0,"15","15"
"1_CELL1542_N2","au1",2015,546,"1",0,"19","19"
"1_CELL1543_N2","au1",1472,618,"1",0,"10","10"
"1_CELL1545_N2","au1",5205,1167,"1",0,"6","6"
"1_CELL1546_N3","au1",1543,571,"1",0,"6","6"
"1_CELL1549_N2","au1",1813,779,"1",0,"8","8"
"1_CELL1552_N2","au1",1491,538,"1",0,"6","6"
"1_CELL1554_N3","au1",7834,1905,"1",0,"6","6"
"1_CELL1556_N2","au1",3079,1049,"1",0,"17","17"
"1_CELL1557_N2","au1",1898,589,"1",0,"13","13"
"1_CELL1560_N2","au1",1490,581,"1",0,"0","0"
"1_CELL1563_N3","au1",1515,435,"1",0,"23","23"
"1_CELL1565_N3","au1",5751,1612,"1",0,"7","7"
"1_CELL1566_N3","au1",1803,627,"1",0,"0","0"
"1_CELL1567_N3","au1",2037,872,"1",0,"6","6"
"1_CELL1576_N3","au1",2262,767,"1",0,"19","19"
"1_CELL1578_N3","au1",1337,498,"1",0,"9","9"
"1_CELL1581_N4","au1",2570,867,"1",0,"5","5"
"1_CELL1583_N2","au1",1378,577,"1",0,"0","0"
"1_CELL1584_N3","au1",1224,582,"1",0,"14","14"
"1_CELL1587_N2","au1",2397,680,"1",0,"14","14"
"1_CELL1589_N3","au1",4996,1221,"1",0,"13","13"
"1_CELL1593_N2","au1",1641,606,"1",0,"0","0"
"1_CELL1596_N3","au1",2792,888,"1",0,"3","3"
"1_CELL1597_N4","au1",3228,1055,"1",0,"2","2"
"1_CELL1598_N2","au1",2138,653,"1",0,"2","2"
"1_CELL1599_N3","au1",1894,674,"1",0,"6","6"
"1_CELL1600_N2","au1",2545,833,"1",0,"0","0"
"1_CELL1601_N3","au1",1869,723,"1",0,"9","9"
"1_CELL1603_N3","au1",2428,809,"1",0,"0","0"
"1_CELL1605_N3","au1",3711,1203,"1",0,"3","3"
"1_CELL1606_N2","au1",3472,907,"1",0,"4","4"
"1_CELL1613_N4","au1",2420,753,"1",0,"10","10"
"1_CELL1614_N2","au1",2675,812,"1",0,"11","11"
"1_CELL1617_N4","au1",7203,1456,"1",0,"11","11"
"1_CELL1618_N2","au1",1486,569,"1",0,"10","10"
"1_CELL1619_N4","au1",4538,1167,"1",0,"1","1"
"1_CELL1620_N2","au1",1525,686,"1",0,"17","17"
"1_CELL1621_N4","au1",3392,961,"1",0,"2","2"
"1_CELL1626_N3","au1",2136,611,"1",0,"3","3"
"1_CELL1627_N2","au1",1898,515,"1",0,"3","3"
"1_CELL1629_N2","au1",1897,662,"1",0,"13","13"
"1_CELL1631_N2","au1",4072,1364,"1",0,"8","8"
"1_CELL1632_N3","au1",1558,654,"1",0,"1","1"
"1_CELL1636_N3","au1",2585,792,"1",0,"0","0"
"1_CELL1637_N4","au1",2553,826,"1",0,"3","3"
"1_CELL1639_N6","au1",3697,1387,"1",0,"6","6"
"1_CELL1646_N2","au1",2324,783,"1",0,"0","0"
"1_CELL1648_N2","au1",1400,570,"1",0,"5","5"
"1_CELL1653_N1","au1",1709,589,"1",0,"1","1"
"1_CELL1654_N3","au1",1568,524,"1",0,"3","3"
"1_CELL1655_N4","au1",9728,1845,"1",0,"1","1"
"1_CELL1656_N2","au1",3186,920,"1",0,"0","0"
"1_CELL1660_N3","au1",3005,828,"1",0,"2","2"
"1_CELL1662_N4","au1",1718,725,"1",0,"10","10"
"1_CELL1663_N3","au1",3143,926,"1",0,"14","14"
"1_CELL1664_N2","au1",1468,560,"1",0,"15","15"
"1_CELL1667_N2","au1",1065,525,"1",0,"0","0"
"1_CELL1670_N2","au1",1907,687,"1",0,"2","2"
"1_CELL1671_N2","au1",3830,1145,"1",0,"12","12"
"1_CELL1672_N3","au1",2061,714,"1",0,"1","1"
"1_CELL1673_N3","au1",1167,501,"1",0,"3","3"
"1_CELL1674_N3","au1",7786,1511,"1",0,"4","4"
"1_CELL1677_N2","au1",1107,505,"1",0,"1","1"
"1_CELL1679_N2","au1",2256,947,"1",0,"10","10"
"1_CELL1682_N4","au1",4328,1153,"1",0,"9","9"
"1_CELL1683_N2","au1",7639,1542,"1",0,"11","11"
"1_CELL1684_N3","au1",2048,637,"1",0,"0","0"
"1_CELL1686_N4","au1",2662,636,"1",0,"3","3"
"1_CELL1691_N3","au1",2882,891,"1",0,"0","0"
"1_CELL1692_N3","au1",1570,679,"1",0,"0","0"
"1_CELL1693_N2","au1",3599,887,"1",0,"12","12"
"1_CELL1694_N2","au1",1939,623,"1",0,"8","8"
"1_CELL1695_N3","au1",2461,766,"1",0,"5","5"
"1_CELL1696_N2","au1",2921,932,"1",0,"1","1"
"1_CELL1699_N2","au1",1309,549,"1",0,"3","3"
"1_CELL1700_N2","au1",1833,668,"1",0,"9","9"
"1_CELL1701_N2","au1",2045,730,"1",0,"3","3"
"1_CELL1702_N2","au1",1897,772,"1",0,"3","3"
"1_CELL1704_N3","au1",1903,735,"1",0,"2","2"
"1_CELL1705_N3","au1",2347,732,"1",0,"0","0"
"1_CELL1706_N2","au1",2904,789,"1",0,"0","0"
"1_CELL1707_N3","au1",5258,1357,"1",0,"20","20"
"1_CELL1708_N2","au1",1031,506,"1",0,"0","0"
"1_CELL1710_N2","au1",1661,680,"1",0,"2","2"
"1_CELL1711_N2","au1",2219,653,"1",0,"0","0"
"1_CELL1712_N2","au1",2081,645,"1",0,"1","1"
"1_CELL1713_N2","au1",3373,848,"1",0,"0","0"
"1_CELL1714_N2","au1",1014,373,"1",0,"19","19"
"1_CELL1715_N2","au1",2407,735,"1",0,"22","22"
"1_CELL1717_N3","au1",2136,877,"1",0,"3","3"
"1_CELL1719_N2","au1",2056,636,"1",0,"2","2"
"1_CELL1725_N3","au1",4428,1047,"1",0,"1","1"
"1_CELL1728_N3","au1",3363,983,"1",0,"3","3"
"1_CELL1729_N3","au1",1618,480,"1",0,"8","8"
"1_CELL1731_N2","au1",2582,751,"1",0,"1","1"
"1_CELL1732_N4","au1",9264,1842,"1",0,"11","11"
"1_CELL1733_N3","au1",1500,689,"1",0,"7","7"
"1_CELL1734_N2","au1",2707,716,"1",0,"8","8"
"1_CELL1736_N2","au1",1574,659,"1",0,"15","15"
"1_CELL1737_N2","au1",2262,687,"1",0,"0","0"
"1_CELL1740_N3","au1",1949,524,"1",0,"0","0"
"1_CELL1742_N3","au1",1854,647,"1",0,"5","5"
"1_CELL1743_N2","au1",1266,525,"1",0,"1","1"
"1_CELL1746_N2","au1",2279,637,"1",0,"0","0"
"1_CELL1747_N3","au1",2795,903,"1",0,"10","10"
"1_CELL1748_N3","au1",1159,558,"1",0,"0","0"
"1_CELL1750_N2","au1",1929,539,"1",0,"0","0"
"1_CELL1752_N2","au1",2147,433,"1",0,"18","18"
"1_CELL1753_N4","au1",6926,1561,"1",0,"1","1"
"1_CELL1755_N3","au1",3185,763,"1",0,"10","10"
"1_CELL1761_N4","au1",1673,634,"1",0,"0","0"
"1_CELL1762_N4","au1",2481,864,"1",0,"13","13"
"1_CELL1763_N3","au1",3004,1074,"1",0,"12","12"
"1_CELL1764_N4","au1",5417,1387,"1",0,"5","5"
"1_CELL1766_N5","au1",3186,1249,"1",0,"10","10"
